strain,stress
2.350000055623363560e-02,-1.568560400000000013e-03
2.374998788205111289e-02,-2.589360200000000037e-04
2.399997520786858671e-02,-1.938558199999999962e-04
2.425004199564575330e-02,-9.935452000000000432e-04
2.450002932146322712e-02,-1.856498600000000101e-05
2.475001664728070441e-02,-8.441167800000000344e-04
2.500000397309795272e-02,-7.580583399999999816e-04
2.524999129891543001e-02,-3.179570100000000195e-04
2.549997862473290383e-02,-1.070539400000000045e-04
2.575004541251007043e-02,5.781640499999999520e-04
2.600003273832754425e-02,-5.882399299999999874e-05
2.625002006414479602e-02,-1.030270800000000070e-03
2.650000738996226984e-02,-1.108241200000000031e-04
2.674999471577974713e-02,3.457054599999999757e-04
2.699998204159699544e-02,-1.599619099999999912e-04
2.724996936741446926e-02,2.502722400000000221e-04
2.750003615519186137e-02,-9.696894699999999978e-04
2.775002348100911315e-02,-1.230346399999999920e-03
2.800001080682658697e-02,-5.583225900000000127e-04
2.824999813264406079e-02,-2.972800200000000012e-04
2.849998545846131257e-02,-7.430707899999999594e-04
2.874997278427878639e-02,-3.891283700000000177e-04
2.900003957205595298e-02,-3.080971100000000091e-04
2.925002689787342680e-02,-4.539582099999999940e-04
2.950001422369090409e-02,6.078913399999999673e-05
2.975000154950815240e-02,-2.508175600000000062e-04
2.999998887532562969e-02,5.120563700000000306e-04
3.024997620114310351e-02,-1.162543100000000074e-03
3.050004298892027010e-02,2.790934300000000225e-04
3.075003031473774393e-02,-1.213515000000000080e-03
3.100001764055522122e-02,-9.647893599999999388e-05
3.125000496637247299e-02,-1.213997699999999939e-04
3.149999229218994334e-02,-9.389994400000000168e-04
3.174997961800742063e-02,-5.704192800000000346e-04
3.200004640578458376e-02,1.199154800000000074e-03
3.225003373160206105e-02,-1.041285000000000084e-03
3.250002105741930936e-02,-5.376847700000000375e-04
3.275000838323678665e-02,1.345685600000000098e-03
3.299999570905426394e-02,-5.964376899999999622e-04
3.324998303487151224e-02,-1.808545300000000047e-03
3.349997036068898953e-02,-1.429463999999999973e-04
3.375003714846638164e-02,3.048497099999999765e-04
3.400002447428362995e-02,-1.224743500000000096e-03
3.425001180010110030e-02,2.812165799999999990e-04
3.449999912591857759e-02,-4.081093200000000007e-04
3.474998645173582590e-02,-6.183443600000000260e-04
3.499997377755330319e-02,4.273268900000000160e-05
3.525004056533046631e-02,-1.918095199999999884e-04
3.550002789114794360e-02,-1.686559999999999926e-03
3.575001521696542089e-02,7.955174699999999991e-04
3.600000254278266920e-02,8.039974000000000079e-04
3.624998986860014649e-02,-2.091964500000000147e-03
3.649997719441762378e-02,-4.717138899999999689e-05
3.675004398219478691e-02,4.200041400000000089e-04
3.700003130801226420e-02,-9.389846899999999743e-04
3.725001863382973455e-02,4.066435299999999857e-04
3.750000595964698979e-02,-3.989326599999999732e-04
3.774999328546446015e-02,-9.359049799999999766e-04
3.799998061128170845e-02,-2.820703699999999731e-04
3.825004739905910056e-02,3.128569299999999984e-04
3.850003472487657785e-02,-4.161722100000000003e-04
3.875002205069382616e-02,3.094162900000000001e-04
3.900000937651130345e-02,-4.757371900000000021e-04
3.924999670232878074e-02,-3.847786800000000014e-04
3.949998402814602905e-02,-6.664067400000000000e-04
3.974997135396350634e-02,1.700409800000000058e-04
4.000003814174066946e-02,-1.483682099999999874e-04
4.025002546755814675e-02,-1.182134800000000105e-03
4.050001279337561710e-02,-6.678339099999999967e-04
4.075000011919287235e-02,-3.017254000000000030e-04
4.099998744501034270e-02,-2.988253500000000239e-04
4.124997477082781999e-02,-2.650211200000000041e-04
4.150004155860498312e-02,3.003863200000000022e-04
4.175002888442246041e-02,-1.131207900000000049e-03
4.200001621023993770e-02,-5.432135099999999862e-04
4.225000353605718600e-02,1.726377000000000022e-04
4.249999086187466329e-02,-4.613629399999999762e-05
4.274997818769214059e-02,-8.430914900000000163e-04
4.300004497546930371e-02,-7.666140200000000175e-04
4.325003230128678100e-02,-2.016181700000000050e-04
4.350001962710402931e-02,-4.525914699999999827e-04
4.375000695292150660e-02,-4.609091299999999833e-04
4.399999427873897695e-02,-2.311125199999999880e-04
4.424998160455622526e-02,-2.251575600000000114e-04
4.449996893037370255e-02,-3.385504399999999929e-04
4.475003571815109465e-02,1.564701099999999919e-04
4.500002304396834296e-02,-1.461726999999999905e-04
4.525001036978582025e-02,-5.227494399999999550e-04
4.549999769560329754e-02,-4.091550300000000107e-04
4.574998502142054585e-02,4.169567099999999926e-04
4.599997234723802314e-02,-1.436565300000000047e-04
4.625003913501518626e-02,-1.230340299999999900e-04
4.650002646083266356e-02,-5.743580999999999719e-05
4.675001378665013391e-02,-7.764247599999999500e-04
4.700000111246738915e-02,1.743392399999999886e-04
4.724998843828485950e-02,-8.932360799999999488e-05
4.749997576410233679e-02,-7.233822500000000382e-04
4.775004255187949992e-02,-1.685171000000000065e-04
4.800002987769697721e-02,-8.901990499999999824e-05
4.825001720351445450e-02,3.119727100000000233e-04
4.850000452933170281e-02,-5.483265499999999924e-04
4.874999185514918010e-02,-4.055274400000000124e-04
4.899997918096642840e-02,1.080816700000000036e-04
4.925004596874382051e-02,2.322909300000000111e-04
4.950003329456129780e-02,6.717215800000000557e-05
4.975002062037854611e-02,-1.022583400000000005e-03
5.000000794619601646e-02,-4.197437999999999842e-04
5.024999527201349375e-02,-6.807302500000000272e-04
5.049998259783074206e-02,5.360984499999999799e-04
5.074996992364821935e-02,8.173455900000000296e-05
5.100003671142561146e-02,-1.387491499999999982e-03
5.125002403724285976e-02,1.212557900000000048e-04
5.150001136306033706e-02,-5.850261699999999770e-05
5.174999868887758536e-02,-5.002349700000000357e-04
5.199998601469506265e-02,1.240245700000000030e-04
5.224997334051253994e-02,4.405958899999999731e-04
5.250004012828970307e-02,-5.291148799999999697e-04
5.275002745410718036e-02,1.719035099999999922e-04
